,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_1,0.0,-10.56389,0.0,-5.8535,3.9282,0.0,0.0,-9.947736859,0.0,-6.348341107,3.595573604,0.0
44L_13_2,0.0,-10.36773,0.0,-5.72798,4.3608,0.0,0.0,-9.574325681,0.0,-6.128234267,4.015031755,0.0
44L_13_3,0.0,-10.1263,0.0,-5.54568,4.8723,0.0,0.0,-9.298967123,0.0,-6.025491357,4.617205262,0.0
44L_13_4,0.0,-9.88069,0.0,-5.29081,5.4132,0.0,0.0,-9.104068279,0.0,-5.960260034,5.098553300000001,0.0
44L_13_5,0.0,-9.65125,0.0,-4.96111,5.9605,0.0,0.0,-8.967161775,0.0,-5.847122669,5.569285154,0.0
44L_13_6,0.0,-9.44333,0.0,-4.56647,6.5093,0.0,0.0,-8.862668872,0.0,-5.644542575,6.030766368,0.0
44L_13_7,0.0,-9.25355,0.0,-4.12612,7.0635,0.0,0.0,-8.765931129,0.0,-5.336376429,6.485412717,0.0
44L_13_8,0.0,-9.07381,0.0,-3.66422,7.6304,0.0,0.0,-8.658223152,0.0,-4.931637347000001,6.937606931,0.0
44L_13_9,0.0,-8.89314,0.0,-3.20499,8.2159,0.0,0.0,-8.530523776999999,0.0,-4.462918043,7.392380238,0.0
44L_13_10,0.0,-8.69905,0.0,-2.76891,8.8207,0.0,0.0,-8.384199142,0.0,-3.979033828,7.852789164000001,0.0
44L_13_11,0.0,-8.48023,0.0,-2.37116,9.4378,0.0,0.0,-8.227965236,0.0,-3.532653749,8.316717148,0.0
44L_13_12,0.0,-8.23048,0.0,-2.02194,10.0508,0.0,0.0,-8.072078824,0.0,-3.16644907,8.774546981,0.0
44L_13_13,0.0,-7.95212,0.0,-1.72765,10.6355,0.0,0.0,-7.922089696,0.0,-2.901989222,9.209483266,0.0
44L_13_14,0.0,-7.65586,0.0,-1.49155,11.1651,0.0,0.0,-7.775014639,0.0,-2.73556143,9.601222873,0.0
44L_13_15,0.0,-7.35681,0.0,-1.31402,11.6179,0.0,0.0,-7.619675994,0.0,-2.6430901890000005,9.931934476,0.0
44L_13_16,0.0,-7.06824,0.0,-1.19266,11.9831,0.0,0.0,-7.440852523,0.0,-2.591901422,10.19246697,0.0
44L_13_17,0.0,-6.79655,0.0,-1.12246,12.2629,0.0,0.0,-7.225045562,0.0,-2.55335778,10.38666844,0.0
44L_13_18,0.0,-6.5395,0.0,-1.09589,12.4705,0.0,0.0,-6.965145469,0.0,-2.510891557,10.5319345,0.0
44L_13_19,0.0,-6.28759,0.0,-1.10275,12.6256,0.0,0.0,-6.662119627000001,0.0,-2.4618873,10.65467715,0.0
44L_13_20,0.0,-6.02764,0.0,-1.13035,12.7503,0.0,0.0,-6.323392987,0.0,-2.41495952,10.78122854,0.0
44L_13_21,0.0,-5.74765,0.0,-1.16478,12.8647,0.0,0.0,-5.959179401,0.0,-2.384177595,10.92760324,0.0
44L_13_22,0.0,-5.44178,0.0,-1.1934,12.9833,0.0,0.0,-5.579056144,0.0,-2.381216735,11.093666550000002,0.0
44L_13_23,0.0,-5.11327,0.0,-1.20757,13.1134,0.0,0.0,-5.190836787,0.0,-2.407783121,11.26598239,0.0
44L_13_24,0.0,-4.77409,0.0,-1.20423,13.2555,0.0,0.0,-4.801926315,0.0,-2.452183962,11.42854691,0.0
44L_13_25,0.0,-4.44138,0.0,-1.18561,13.4055,0.0,0.0,-4.421383739,0.0,-2.492558807,11.57518864,0.0
44L_13_26,0.0,-4.13239,0.0,-1.15715,13.5589,0.0,0.0,-4.060716629,0.0,-2.505732179,11.71563506,0.0
44L_13_27,0.0,-3.85989,0.0,-1.125,13.7133,0.0,0.0,-3.732930124,0.0,-2.477650344,11.87091827,0.0
44L_13_28,0.0,-3.62976,0.0,-1.09387,13.8689,0.0,0.0,-3.4505355360000003,0.0,-2.410152107,12.06043243,0.0
44L_13_29,0.0,-3.44158,0.0,-1.06632,14.026,0.0,0.0,-3.223156631,0.0,-2.319779396,12.28876114,0.0
44L_13_30,0.0,-3.29223,0.0,-1.04309,14.1812,0.0,0.0,-3.055152595,0.0,-2.228271663,12.541142700000002,0.0
44L_13_31,0.0,-3.18011,0.0,-1.02387,14.3266,0.0,0.0,-2.944084108,0.0,-2.15028733,12.79068947,0.0
