,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_1,20.41724,0.0,5.4463,0.0,6.7056,0.0,21.933085920000003,0.0,4.738053380999999,0.0,6.834797859,0.0
44L_13_2,20.23127,0.0,5.2159,0.0,7.0704,0.0,21.65800571,0.0,4.7290006280000005,0.0,6.735575199,0.0
44L_13_3,19.93946,0.0,5.0038,0.0,7.4292,0.0,21.24741077,0.0,4.24800694,0.0,7.890810966,0.0
44L_13_4,19.64593,0.0,4.8682,0.0,7.7042,0.0,20.82316637,0.0,4.268623888,0.0,8.236579895,0.0
44L_13_5,19.42413,0.0,4.8252,0.0,7.8764,0.0,20.46869278,0.0,4.414184988,0.0,8.430829644,0.0
44L_13_6,19.31078,0.0,4.8609,0.0,7.9627,0.0,20.22994518,0.0,4.632144272,0.0,8.496265411,0.0
44L_13_7,19.31196,0.0,4.9456,0.0,7.9963,0.0,20.12304544,0.0,4.873812199,0.0,8.475724459,0.0
44L_13_8,19.4131,0.0,5.0441,0.0,8.0138,0.0,20.14063597,0.0,5.101717114,0.0,8.420194386999999,0.0
44L_13_9,19.58696,0.0,5.1249,0.0,8.0489,0.0,20.25607824,0.0,5.2938020230000005,0.0,8.378261327999999,0.0
44L_13_10,19.79983,0.0,5.1658,0.0,8.1273,0.0,20.42934895,0.0,5.444571376000001,0.0,8.387449384,0.0
44L_13_11,20.01805,0.0,5.157,0.0,8.2627,0.0,20.61672449,0.0,5.562446713,0.0,8.468661308,0.0
44L_13_12,20.21475,0.0,5.1008,0.0,8.4566,0.0,20.78141212,0.0,5.662866831,0.0,8.625005484,0.0
44L_13_13,20.37406,0.0,5.008,0.0,8.6994,0.0,20.90048313,0.0,5.758432746,0.0,8.845361471,0.0
44L_13_14,20.49124,0.0,4.89,0.0,8.9763,0.0,20.96641064,0.0,5.849783421,0.0,9.111398458,0.0
44L_13_15,20.57026,0.0,4.7516,0.0,9.2737,0.0,20.9846735,0.0,5.922036767,0.0,9.405578971,0.0
44L_13_16,20.6201,0.0,4.5867,0.0,9.5835,0.0,20.9689188,0.0,5.949510336,0.0,9.717572927,0.0
44L_13_17,20.64972,0.0,4.3798,0.0,9.9038,0.0,20.933671,0.0,5.906245708,0.0,10.04719138,0.0
44L_13_18,20.66135,0.0,4.1127,0.0,10.236,0.0,20.88554382,0.0,5.775832534000001,0.0,10.40285945,0.0
44L_13_19,20.64471,0.0,3.7695,0.0,10.5788,0.0,20.8173418,0.0,5.555199981,0.0,10.79592347,0.0
44L_13_20,20.57771,0.0,3.3412,0.0,10.9228,0.0,20.71069717,0.0,5.252301693,0.0,11.23285174,0.0
44L_13_21,20.43692,0.0,2.8288,0.0,11.2492,0.0,20.54837942,0.0,4.881756008,0.0,11.70913935,0.0
44L_13_22,20.21339,0.0,2.2468,0.0,11.5344,0.0,20.32933712,0.0,4.462379515,0.0,12.20865846,0.0
44L_13_23,19.92289,0.0,1.6237,0.0,11.7609,0.0,20.0753665,0.0,4.017166197,0.0,12.709095479999998,0.0
44L_13_24,19.60225,0.0,0.9978,0.0,11.9265,0.0,19.82353568,0.0,3.573199511,0.0,13.1898129,0.0
44L_13_25,19.29401,0.0,0.4097,0.0,12.0465,0.0,19.60941076,0.0,3.159131408,0.0,13.637121919999998,0.0
44L_13_26,19.03053,0.0,0.0,-0.1055,12.1463,0.0,19.45304632,0.0,2.800270617,0.0,14.04470205,0.0
44L_13_27,18.82816,0.0,0.0,-0.5258,12.2508,0.0,19.35631275,0.0,2.513089776,0.0,14.41069007,0.0
44L_13_28,18.69158,0.0,0.0,-0.8463,12.3752,0.0,19.31061745,0.0,2.301200926,0.0,14.73439455,0.0
44L_13_29,18.62012,0.0,0.0,-1.0793,12.5203,0.0,19.30696011,0.0,2.154587358,0.0,15.01441479,0.0
44L_13_30,18.60904,0.0,0.0,-1.2476,12.6747,0.0,19.3403554,0.0,2.052951604,0.0,15.24852753,0.0
44L_13_31,18.64639,0.0,0.0,-1.3734,12.8203,0.0,19.40672517,0.0,1.972194612,0.0,15.43512344,0.0
44L_13_32,18.7124,0.0,0.0,-1.4703,12.9405,0.0,19.49726105,0.0,1.891738027,0.0,15.57585478,0.0
